ID ANSSI,Titre ANSSI,Type,Date,CVE,CVSS,Base Severity,CWE,EPSS,Lien,Description,Editeur,Produit,Versions affectees
CERTFR-2023-AVI-0001,Vulnérabilité dans Apache Tomcat,avis,2023-01-04T00:00:00.000000,CVE-2022-45143,,,CWE-116,0.0095,https://cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0001/,"The JsonErrorReportValve in Apache Tomcat 8.5.83, 9.0.40 to 9.0.68 and 10.1.0-M1 to 10.1.1 did not escape the type, message or description values. In some circumstances these are constructed from user provided data and it was therefore possible for users to supply values that invalidated or manipulated the JSON output.",Apache Software Foundation,Apache Tomcat,"10.1.0-M1, 8.5.83, 9.0.40"
CERTFR-2023-AVI-0002,Multiples vulnérabilités dans les produits Fortinet,avis,2023-01-04T00:00:00.000000,CVE-2022-35845,7.6,Elevee,CWE-78,0.03866,https://cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0002/,"Multiple improper neutralization of special elements used in an OS Command ('OS Command Injection') vulnerabilities [CWE-78] in FortiTester 7.1.0, 7.0 all versions, 4.0.0 through 4.2.0, 2.3.0 through 3.9.1 may allow an authenticated attacker to execute arbitrary commands in the underlying shell.",Fortinet,FortiTester,"2.3.0, 2.4.0, 2.5.0, 2.6.0, 2.7.0, 2.8.0, 2.9.0, 3.0.0, 3.1.0, 3.2.0, 3.3.0, 3.4.0, 3.5.0, 3.6.0, 3.7.0, 3.8.0, 3.9.0, 4.0.0, 4.1.0, 4.2.0, 7.0.0, 7.1.0"
CERTFR-2023-AVI-0002,Multiples vulnérabilités dans les produits Fortinet,avis,2023-01-04T00:00:00.000000,CVE-2022-39947,8.6,Elevee,CWE-78,0.01711,https://cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0002/,"A improper neutralization of special elements used in an os command ('os command injection') in Fortinet FortiADC version 7.0.0 through 7.0.2, FortiADC version 6.2.0 through 6.2.3, FortiADC version version 6.1.0 through 6.1.6, FortiADC version 6.0.0 through 6.0.4, FortiADC version 5.4.0 through 5.4.5 may allow an attacker to execute unauthorized code or commands via specifically crafted HTTP requests.",Fortinet,FortiADC,"5.4.0, 6.0.0, 6.1.0, 6.2.0, 7.0.0"
CERTFR-2023-AVI-0002,Multiples vulnérabilités dans les produits Fortinet,avis,2023-01-04T00:00:00.000000,CVE-2022-41336,6.6,Moyenne,CWE-79,0.00322,https://cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0002/,"An improper neutralization of input during web page generation vulnerability [CWE-79] in FortiPortal versions 6.0.0 through 6.0.11 and all versions of 5.3, 5.2, 5.1, 5.0 management interface may allow a remote authenticated attacker to perform a stored cross site scripting (XSS) attack via sending request with specially crafted columnindex parameter.",Fortinet,FortiPortal,"5.0.0, 5.1.0, 5.2.0, 5.3.0, 6.0.0"
CERTFR-2023-AVI-0002,Multiples vulnérabilités dans les produits Fortinet,avis,2023-01-04T00:00:00.000000,CVE-2022-45857,6.0,Moyenne,CWE-286,0.00348,https://cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0002/,An incorrect user management vulnerability [CWE-286] in the FortiManager version 6.4.6 and below VDOM creation component may allow an attacker to access a FortiGate without a password via newly created VDOMs after the super_admin account is deleted.,Fortinet,FortiManager,"6.2.0, 6.4.0, 7.0.0"
CERTFR-2023-AVI-0003,Multiples vulnérabilités dans les produits Android,avis,2023-01-04T00:00:00.000000,CVE-2021-35097,7.3,Elevee,,0.00032,https://cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0003/,"Possible authentication bypass due to improper order of signature verification and hashing in the signature verification call in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables","Qualcomm, Inc.","Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables","AQT1000, AR8031, AR8035, CSRA6620, CSRA6640, CSRB31024, MDM9150, QCA6174A, QCA6175A, QCA6310, QCA6335, QCA6390, QCA6391, QCA6420, QCA6421, QCA6426, QCA6430, QCA6431, QCA6436, QCA6564, QCA6564A, QCA6564AU, QCA6574, QCA6574A, QCA6574AU, QCA6595, QCA6595AU, QCA6696, QCA8081, QCA8337, QCA9377, QCM2290, QCM4290, QCM6125, QCM6490, QCS2290, QCS405, QCS410, QCS4290, QCS610, QCS6125, QCS6490, QRB5165, QRB5165M, QRB5165N, QSM8350, SA415M, SA515M, SA6145P, SA6155, SA6155P, SA8155, SA8155P, SA8195P, SA8540P, SA9000P, SC8180X+SDX55, SD 675, SD 8CX, SD 8cx Gen2, SD 8cx Gen3, SD460, SD480, SD662, SD665, SD675, SD678, SD680, SD690 5G, SD695, SD720G, SD730, SD750G, SD765, SD765G, SD768G, SD778G, SD780G, SD7c, SD845, SD850, SD855, SD865 5G, SD870, SD888, SD888 5G, SDX24, SDX50M, SDX55, SDX55M, SDX65, SDXR2 5G, SM4125, SM6250, SM6250P, SM7250P, SM7315, SM7325P, SW5100, SW5100P, WCD9335, WCD9340, WCD9341, WCD9360, WCD9370, WCD9371, WCD9375, WCD9380, WCD9385, WCN3910, WCN3950, WCN3980, WCN3988, WCN3990, WCN3991, W ...[truncated*]"
CERTFR-2023-AVI-0003,Multiples vulnérabilités dans les produits Android,avis,2023-01-04T00:00:00.000000,CVE-2021-35113,7.3,Elevee,,0.00032,https://cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0003/,"Possible authentication bypass due to improper order of signature verification and hashing in the signature verification call in Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables","Qualcomm, Inc.","Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables","AQT1000, CSRB31024, QCA6174A, QCA6310, QCA6335, QCA6420, QCA6430, QCA6564AU, QCA6574AU, QCA6595AU, QCA6696, QCA9377, QCS410, QCS610, SA415M, SD 675, SD429, SD675, SD678, SD720G, SD730, SD7c, SD845, SD850, SD855, SDM429W, SDX24, SDX50M, SDX55, SDX55M, SM6250, SM6250P, WCD9340, WCD9341, WCD9370, WCD9371, WCD9375, WCD9380, WCN3620, WCN3660B, WCN3950, WCN3980, WCN3988, WCN3990, WCN3991, WCN3998, WSA8810, WSA8815"
CERTFR-2023-AVI-0003,Multiples vulnérabilités dans les produits Android,avis,2023-01-04T00:00:00.000000,CVE-2021-35134,8.4,Elevee,,0.00122,https://cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0003/,"Due to insufficient validation of ELF headers, an Incorrect Calculation of Buffer Size can occur in Boot leading to memory corruption in Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile","Qualcomm, Inc.","Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile","QCA6391, QCM6490, QCS6490, QSM8350, SD 8 Gen1 5G, SD778G, SD780G, SD888, SD888 5G, SM7315, SM7325P, SM7450, SM8475, SM8475P, WCD9341, WCD9370, WCD9375, WCD9380, WCD9385, WCN6740, WCN6750, WCN6850, WCN6851, WCN6855, WCN6856, WCN7850, WCN7851, WSA8830, WSA8832, WSA8835"
CERTFR-2023-AVI-0003,Multiples vulnérabilités dans les produits Android,avis,2023-01-04T00:00:00.000000,CVE-2022-20235,,,,0.00037,https://cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0003/,"The PowerVR GPU kernel driver maintains an ""Information Page"" used by its cache subsystem. This page can only be written by the GPU driver itself, but prior to DDK 1.18 however, a user-space program could write arbitrary data to the page, leading to memory corruption issues.Product: AndroidVersions: Android SoCAndroid ID: A-259967780",n/a,Android,Android SoC
CERTFR-2023-AVI-0003,Multiples vulnérabilités dans les produits Android,avis,2023-01-04T00:00:00.000000,CVE-2022-20456,,,,0.00025,https://cert.ssi.gouv.fr/avis/CERTFR-2023-AVI-0003/,"In AutomaticZenRule of AutomaticZenRule.java, there is a possible failure to persist permissions settings due to resource exhaustion. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-12L Android-13Android ID: A-242703780",n/a,Android,Android-10 Android-11 Android-12 Android-12L Android-13
